"CO_MUNICIP";"CO_DSEI"
"110001";"027"
"110004";"032"
"110010";"027"
"110012";"027"
"110020";"027"
"110030";"032"
"120005";"005"
"120020";"003"
"120030";"003"
"120032";"003"
"120033";"003"
"120034";"005"
"120035";"003"
"120039";"003"
"120043";"005"
"120050";"005"
"120060";"003"
"130002";"022"
"130006";"006"
"130020";"031"
"130030";"018"
"130040";"004"
"130040";"034"
"130050";"024"
"130060";"006"
"130063";"018"
"130070";"005"
"130080";"018"
"130100";"022"
"130110";"018"
"130115";"018"
"130120";"022"
"130140";"022"
"130150";"022"
"130160";"022"
"130170";"018"
"130170";"027"
"130180";"022"
"130185";"018"
"130190";"018"
"130195";"022"
"130210";"006"
"130210";"022"
"130220";"022"
"130230";"022"
"130240";"021"
"130250";"018"
"130255";"018"
"130270";"018"
"130280";"022"
"130290";"024"
"130300";"024"
"130310";"018"
"130350";"005"
"130356";"018"
"130360";"004"
"130360";"034"
"130370";"006"
"130380";"004"
"130380";"034"
"130390";"006"
"130406";"006"
"130410";"021"
"130420";"022"
"130423";"006"
"130426";"022"
"130430";"018"
"140002";"016"
"140002";"034"
"140005";"016"
"140005";"034"
"140010";"016"
"140015";"016"
"140017";"016"
"140020";"034"
"140023";"016"
"140028";"034"
"140030";"034"
"140040";"016"
"140045";"016"
"140070";"016"
"150050";"007"
"150060";"002"
"150230";"012"
"150360";"029"
"150375";"029"
"150420";"012"
"150503";"029"
"150510";"007"
"150510";"012"
"150530";"012"
"150530";"024"
"150543";"015"
"150550";"012"
"150613";"015"
"150655";"012"
"150730";"015"
"150800";"012"
"150808";"015"
"150810";"012"
"160015";"007"
"160050";"007"
"170820";"030"
"171050";"030"
"171886";"030"
"172110";"030"
"172120";"030"
"210060";"019"
"210095";"019"
"210160";"019"
"210200";"019"
"210480";"019"
"210990";"019"
"230020";"010"
"230100";"010"
"230140";"010"
"230240";"010"
"230280";"010"
"230370";"010"
"230410";"010"
"230640";"010"
"230655";"010"
"230765";"010"
"230860";"010"
"230940";"010"
"230970";"010"
"231100";"010"
"231126";"010"
"231230";"010"
"231240";"010"
"231320";"010"
"250140";"028"
"250905";"028"
"251290";"028"
"260050";"026"
"260280";"026"
"260300";"026"
"260392";"026"
"260570";"026"
"260660";"026"
"260700";"026"
"260805";"026"
"261090";"026"
"261100";"026"
"270010";"001"
"270260";"001"
"270330";"001"
"270380";"001"
"270630";"001"
"270642";"001"
"270750";"001"
"270880";"001"
"270920";"001"
"280560";"001"
"291080";"009"
"291320";"009"
"291360";"009"
"291840";"009"
"292400";"009"
"292530";"009"
"310340";"023"
"310660";"023"
"311030";"023"
"311080";"023"
"311380";"023"
"313700";"023"
"314050";"023"
"315430";"023"
"315765";"023"
"316245";"023"
"316860";"023"
"320060";"023"
"330010";"017"
"350600";"013"
"353110";"017"
"353760";"017"
"354260";"017"
"355030";"017"
"355070";"017"
"410940";"013"
"411370";"013"
"411820";"017"
"420130";"017"
"420420";"013"
"420540";"017"
"420915";"013"
"430190";"017"
"431410";"013"
"431490";"017"
"431575";"017"
"432300";"017"
"500060";"020"
"500090";"020"
"500110";"020"
"500215";"020"
"500220";"020"
"500230";"020"
"500240";"020"
"500270";"020"
"500320";"020"
"500370";"020"
"500430";"020"
"500560";"020"
"500635";"020"
"500790";"020"
"500795";"020"
"510020";"033"
"510140";"032"
"510180";"033"
"510185";"033"
"510190";"011"
"510260";"033"
"510320";"014"
"510335";"008"
"510340";"011"
"510370";"025"
"510385";"025"
"510390";"033"
"510510";"014"
"510515";"032"
"510630";"033"
"510642";"014"
"510682";"011"
"510706";"025"
"510760";"011"
"510777";"008"
"510785";"008"
"510785";"025"
"510795";"011"
"520870";"008"
