"CO_PNDR";"DS_NOME";"DS_NOMEPAD";"CO_STATUS";"NU_ORDMAP"
"001";"Grande Fronteira do Mercosul";"GRANDE FRONTEIRA DO MERCOSUL";"ATIVO";1
"002";"Alto Solimões";"ALTO SOLIMOES";"ATIVO";1
"003";"Xingu";"XINGU";"ATIVO";1
"004";"Chapada do Araripe";"CHAPADA DO ARARIPE";"ATIVO";1
"005";"Chapada das Mangabeiras";"CHAPADA DAS MANGABEIRAS";"ATIVO";1
"006";"Bico do Papagaio";"BICO DO PAPAGAIO";"ATIVO";1
"007";"Águas Emendadas";"AGUAS EMENDADAS";"ATIVO";1
"008";"Vales do Jequitinhonha e do Mucuri";"VALES DO JEQUITINHONHA E DO MUCURI";"ATIVO";1
"009";"Vale do Ribeira/Guaraqueçaba";"VALE DO RIBEIRA/GUARAQUECABA";"ATIVO";1
"010";"Vale do Rio Acre";"VALE DO RIO ACRE";"ATIVO";1
"011";"Xingó";"XINGO";"ATIVO";1
"012";"Itabapoana";"ITABAPOANA";"ATIVO";1
"013";"Metade Sul do Rio Grande do Sul";"METADE SUL DO RIO GRANDE DO SUL";"ATIVO";1
"014";"Seridó";"SERIDO";"ATIVO";1
"900";"Outros municípios - ignorados";"OUTROS MUNICIPIOS - IGNORADO";"OUTROS";5
"911";"Outros municípios - RO";"OUTROS MUNICIPIOS - RO";"OUTROS";5
"912";"Outros municípios - AC";"OUTROS MUNICIPIOS - AC";"OUTROS";5
"913";"Outros municípios - AM";"OUTROS MUNICIPIOS - AM";"OUTROS";5
"914";"Outros municípios - RR";"OUTROS MUNICIPIOS - RR";"OUTROS";5
"915";"Outros municípios - PA";"OUTROS MUNICIPIOS - PA";"OUTROS";5
"916";"Outros municípios - AP";"OUTROS MUNICIPIOS - AP";"OUTROS";5
"917";"Outros municípios - TO";"OUTROS MUNICIPIOS - TO";"OUTROS";5
"921";"Outros municípios - MA";"OUTROS MUNICIPIOS - MA";"OUTROS";5
"922";"Outros municípios - PI";"OUTROS MUNICIPIOS - PI";"OUTROS";5
"923";"Outros municípios - CE";"OUTROS MUNICIPIOS - CE";"OUTROS";5
"924";"Outros municípios - RN";"OUTROS MUNICIPIOS - RN";"OUTROS";5
"925";"Outros municípios - PB";"OUTROS MUNICIPIOS - PB";"OUTROS";5
"926";"Outros municípios - PE";"OUTROS MUNICIPIOS - PE";"OUTROS";5
"927";"Outros municípios - AL";"OUTROS MUNICIPIOS - AL";"OUTROS";5
"928";"Outros municípios - SE";"OUTROS MUNICIPIOS - SE";"OUTROS";5
"929";"Outros municípios - BA";"OUTROS MUNICIPIOS - BA";"OUTROS";5
"931";"Outros municípios - MG";"OUTROS MUNICIPIOS - MG";"OUTROS";5
"932";"Outros municípios - ES";"OUTROS MUNICIPIOS - ES";"OUTROS";5
"933";"Outros municípios - RJ";"OUTROS MUNICIPIOS - RJ";"OUTROS";5
"935";"Outros municípios - SP";"OUTROS MUNICIPIOS - SP";"OUTROS";5
"941";"Outros municípios - PR";"OUTROS MUNICIPIOS - PR";"OUTROS";5
"942";"Outros municípios - SC";"OUTROS MUNICIPIOS - SC";"OUTROS";5
"943";"Outros municípios - RS";"OUTROS MUNICIPIOS - RS";"OUTROS";5
"950";"Outros municípios - MS";"OUTROS MUNICIPIOS - MS";"OUTROS";5
"951";"Outros municípios - MT";"OUTROS MUNICIPIOS - MT";"OUTROS";5
"952";"Outros municípios - GO";"OUTROS MUNICIPIOS - GO";"OUTROS";5
"953";"Outros municípios - DF";"OUTROS MUNICIPIOS - DF";"OUTROS";5
